"","V1"
"785",3
"786",4
"787",5
"788",3
"789",3
"790",2
"791",2
"792",1
"793",5
"794",1
"795",5
"796",2
"797",5
"798",3
"799",2
"800",5
"801",2
"802",2
"803",2
"804",5
"805",2
"806",5
"807",5
"808",2
"809",2
"810",1
"811",2
"812",2
"813",2
"814",4
"815",4
"816",2
"817",4
"818",2
"819",2
"820",2
"821",2
"822",1
"823",2
"824",1
"825",2
"826",5
"827",1
"828",4
"829",5
"830",5
"831",5
"832",3
"833",3
"834",1
"835",2
"836",1
"837",5
"838",5
"839",1
"840",5
"841",1
"842",2
"843",2
"844",2
"845",2
"846",1
"847",4
"848",1
"849",5
"850",1
"851",5
"852",1
"853",5
"854",4
"855",2
"856",2
"857",2
"858",2
"859",1
"860",3
"861",1
"862",1
"863",2
"864",2
"865",2
"866",2
"867",2
"868",2
"869",2
"870",2
"871",2
"872",2
"873",3
"874",5
"875",5
"876",5
"877",2
"878",5
"879",1
"880",4
"881",4
"882",1
"883",5
"884",4
"885",5
"886",3
"887",5
"888",5
"889",5
"890",5
"891",3
"892",3
"893",2
"894",5
"895",4
"896",4
"897",3
"898",4
"899",3
"900",2
"901",4
"902",2
"903",5
"904",4
"905",4
"906",3
"907",3
"908",4
"909",2
"910",4
"911",1
"912",3
"913",2
"914",3
"915",1
"916",1
"917",3
"918",3
"919",1
"920",5
"921",3
"922",4
"923",4
"924",4
"925",3
"926",2
"927",5
"928",5
"929",5
"930",5
"931",5
"932",5
"933",4
"934",4
"935",5
"936",1
"937",3
"938",3
"939",3
"940",5
"941",3
"942",5
"943",1
"944",3
"945",3
"946",5
"947",5
"948",5
"949",5
"950",4
"951",3
"952",1
"953",4
"954",5
"955",4
"956",4
"957",3
"958",3
"959",1
"960",1
"961",5
"962",5
"963",3
"964",3
"965",3
"966",3
"967",1
"968",5
"969",2
"970",3
"971",3
"972",3
"973",2
"974",5
"975",3
"976",5
"977",3
"978",1
"979",3
"980",3
"981",2
"982",3
"983",3
"984",4
"985",5
"986",1
"987",3
"988",3
"989",3
"990",1
"991",5
"992",5
"993",2
"994",4
"995",5
"996",2
"997",5
"998",5
"999",2
"1000",5
"1001",5
"1002",5
"1003",2
"1004",3
"1005",3
"1006",2
"1007",1
"1008",2
"1009",4
"1010",5
"1011",3
"1012",3
"1013",5
"1014",4
"1015",5
"1016",3
"1017",3
"1018",3
"1019",3
"1020",4
"1021",3
"1022",3
"1023",5
"1024",5
"1025",5
"1026",3
"1027",5
"1028",4
"1029",2
"1030",1
"1031",1
"1032",2
"1033",3
"1034",3
"1035",5
"1036",3
"1037",3
"1038",5
"1039",3
"1040",3
"1041",5
"1042",5
"1043",1
"1044",5
"1045",5
"1046",4
"1047",5
"1048",4
"1049",4
"1050",4
"1051",1
"1052",4
"1053",4
"1054",4
"1055",1
"1056",1
"1057",4
"1058",4
"1059",4
"1060",4
"1061",4
"1062",1
"1063",1
"1064",4
"1065",5
"1066",1
"1067",4
"1068",1
"1069",1
"1070",1
"1071",4
"1072",4
"1073",1
"1074",1
"1075",5
"1076",2
"1077",1
"1078",1
"1079",5
"1080",4
"1081",1
"1082",1
"1083",4
"1084",5
"1085",2
"1086",1
"1087",4
"1088",1
"1089",4
"1090",5
"1091",1
"1092",1
"1093",1
"1094",1
"1095",1
"1096",4
"1097",1
"1098",1
"1099",4
"1100",2
"1101",4
"1102",1
"1103",5
"1104",1
"1105",1
"1106",4
"1107",2
"1108",1
"1109",4
"1110",1
"1111",2
"1112",5
"1113",1
"1114",5
"1115",1
"1116",4
"1117",1
"1118",3
"1119",2
"1120",2
"1121",5
"1122",1
"1123",1
"1124",1
"1125",1
"1126",4
"1127",1
"1128",1
"1129",5
"1130",4
"1131",5
"1132",4
"1133",4
"1134",1
"1135",1
"1136",1
"1137",1
"1138",4
"1139",1
"1140",1
"1141",1
"1142",4
"1143",4
"1144",1
"1145",1
"1146",1
"1147",4
"1148",4
"1149",4
"1150",5
"1151",4
"1152",5
"1153",5
"1154",5
"1155",1
"1156",5
"1157",1
"1158",4
"1159",1
"1160",1
"1161",1
"1162",5
"1163",4
"1164",4
"1165",1
"1166",4
"1167",5
"1168",1
"1169",4
"1170",1
"1171",4
"1172",4
"1173",3
"1174",4
"1175",5
"1176",2
"1177",4
"1178",4
"1179",1
"1180",4
"1181",1
"1182",4
"1183",1
"1184",4
"1185",1
"1186",1
"1187",1
"1188",1
"1189",4
"1190",4
"1191",2
"1192",1
"1193",4
"1194",1
"1195",4
"1196",1
"1197",4
"1198",2
"1199",1
"1200",1
"1201",2
"1202",4
"1203",1
"1204",1
"1205",2
"1206",5
"1207",1
"1208",1
"1209",3
"1210",4
"1211",1
"1212",4
"1213",4
"1214",4
"1215",4
"1216",1
"1217",1
"1218",4
"1219",4
"1220",4
"1221",2
"1222",2
"1223",4
"1224",4
"1225",1
"1226",1
"1227",5
"1228",4
"1229",5
"1230",1
"1231",5
"1232",4
"1233",1
"1234",4
"1235",4
"1236",5
"1237",4
"1238",5
"1239",4
"1240",1
"1241",4
"1242",4
"1243",4
"1244",2
"1245",2
"1246",1
"1247",4
"1248",1
"1249",5
"1250",1
"1251",4
"1252",1
"1253",4
"1254",4
"1255",1
"1256",2
"1257",1
"1258",1
"1259",5
"1260",1
"1261",4
"1262",1
"1263",2
"1264",1
"1265",4
"1266",1
"1267",3
"1268",4
"1269",1
"1270",4
"1271",1
"1272",4
"1273",1
"1274",4
"1275",4
"1276",4
"1277",4
"1278",1
"1279",3
"1280",4
"1281",1
"1282",1
"1283",1
"1284",1
"1285",1
"1286",1
"1287",1
"1288",4
"1289",5
"1290",1
"1291",4
"1292",4
"1293",1
"1294",2
"1295",4
"1296",1
"1297",1
"1298",2
"1299",1
"1300",1
"1301",4
"1302",1
"1303",1
"1304",4
"1305",5
"1306",3
"1307",3
"1308",2
"1309",3
"1310",3
"1311",2
"1312",3
"1313",2
"1314",2
"1315",1
"1316",1
"1317",1
"1318",3
"1319",5
"1320",5
"1321",2
"1322",2
"1323",2
"1324",2
"1325",2
"1326",5
"1327",5
"1328",1
"1329",1
"1330",2
"1331",5
"1332",4
"1333",2
"1334",5
"1335",2
"1336",3
"1337",3
"1338",2
"1339",1
"1340",2
"1341",5
"1342",3
"1343",5
"1344",5
"1345",5
"1346",5
"1347",5
"1348",5
"1349",5
"1350",2
"1351",1
"1352",2
"1353",5
"1354",4
"1355",2
"1356",1
"1357",5
"1358",3
"1359",2
"1360",2
"1361",5
"1362",2
"1363",2
"1364",2
"1365",2
"1366",1
"1367",5
"1368",5
"1369",2
"1370",2
"1371",5
"1372",4
"1373",3
"1374",1
"1375",1
"1376",5
"1377",1
"1378",4
"1379",5
"1380",4
"1381",2
"1382",5
"1383",1
"1384",2
"1385",5
"1386",5
"1387",5
"1388",5
"1389",2
"1390",3
"1391",5
"1392",2
"1393",2
"1394",5
"1395",5
"1396",5
"1397",5
"1398",2
"1399",3
"1400",1
"1401",5
"1402",2
"1403",5
"1404",3
"1405",2
"1406",1
"1407",5
"1408",2
"1409",3
"1410",5
"1411",5
"1412",2
"1413",2
"1414",2
"1415",5
"1416",2
"1417",1
"1418",2
"1419",2
"1420",2
"1421",2
"1422",2
"1423",4
"1424",2
"1425",2
"1426",2
"1427",4
"1428",1
"1429",1
"1430",3
"1431",5
"1432",5
"1433",2
"1434",2
"1435",2
"1436",5
"1437",4
"1438",2
"1439",4
"1440",3
"1441",3
"1442",4
"1443",4
"1444",2
"1445",2
"1446",2
"1447",2
"1448",2
"1449",1
"1450",2
"1451",1
"1452",2
"1453",1
"1454",3
"1455",5
"1456",3
"1457",2
"1458",5
"1459",5
"1460",5
"1461",2
"1462",5
"1463",3
"1464",5
"1465",4
"1466",4
"1467",5
"1468",1
"1469",2
"1470",2
"1471",1
"1472",2
"1473",4
"1474",3
"1475",2
"1476",2
"1477",5
"1478",1
"1479",1
"1480",1
"1481",2
"1482",5
"1483",2
"1484",2
"1485",2
"1486",4
"1487",2
"1488",4
"1489",2
"1490",2
"1491",2
"1492",2
"1493",1
"1494",2
"1495",2
"1496",1
"1497",3
"1498",3
"1499",1
"1500",2
"1501",1
"1502",4
"1503",5
"1504",5
"1505",5
"1506",5
"1507",1
"1508",2
"1509",5
"1510",1
"1511",2
"1512",5
"1513",2
"1514",1
"1515",1
"1516",4
"1517",1
"1518",5
"1519",1
"1520",5
"1521",5
"1522",5
"1523",5
"1524",5
"1525",3
"1526",1
"1527",2
"1528",3
"1529",2
"1530",2
"1531",5
"1532",5
"1533",2
"1534",2
"1535",2
"1536",2
"1537",4
"1538",1
"1539",2
"1540",1
"1541",4
"1542",4
"1543",2
"1544",5
"1545",1
"1546",3
"1547",3
"1548",3
"1549",5
"1550",5
"1551",5
"1552",5
"1553",3
"1554",4
"1555",5
"1556",3
"1557",5
"1558",5
"1559",4
"1560",4
"1561",3
"1562",5
"1563",3
"1564",3
"1565",3
"1566",4
"1567",3
"1568",5
"1569",3
"1570",3
"1571",4
"1572",5
"1573",1
"1574",5
"1575",3
"1576",5
"1577",2
"1578",5
"1579",5
"1580",2
"1581",3
"1582",5
"1583",5
"1584",5
"1585",4
"1586",5
"1587",2
"1588",3
"1589",3
"1590",3
"1591",3
"1592",2
"1593",3
"1594",3
"1595",1
"1596",5
"1597",4
"1598",4
"1599",4
"1600",3
"1601",2
"1602",5
"1603",3
"1604",5
"1605",5
"1606",3
"1607",3
"1608",3
"1609",3
"1610",5
"1611",5
"1612",5
"1613",5
"1614",5
"1615",3
"1616",3
"1617",5
"1618",3
"1619",5
"1620",5
"1621",4
"1622",5
"1623",3
"1624",3
"1625",5
"1626",4
"1627",3
"1628",4
"1629",1
"1630",4
"1631",4
"1632",3
"1633",5
"1634",4
"1635",4
"1636",3
"1637",5
"1638",5
"1639",3
"1640",5
"1641",3
"1642",5
"1643",4
"1644",4
"1645",1
"1646",2
"1647",3
"1648",5
"1649",1
"1650",3
"1651",5
"1652",4
"1653",1
"1654",5
"1655",5
"1656",4
"1657",2
"1658",3
"1659",1
"1660",5
"1661",5
"1662",5
"1663",5
"1664",4
"1665",1
"1666",3
"1667",3
"1668",2
"1669",1
"1670",5
"1671",5
"1672",2
"1673",5
"1674",5
"1675",3
"1676",5
"1677",5
"1678",2
"1679",5
"1680",5
"1681",5
"1682",3
"1683",3
"1684",3
"1685",5
"1686",4
"1687",3
"1688",5
"1689",3
"1690",3
"1691",3
"1692",4
"1693",4
"1694",3
"1695",2
"1696",3
"1697",3
"1698",5
"1699",5
"1700",2
"1701",4
"1702",1
"1703",1
"1704",5
"1705",4
"1706",4
"1707",4
"1708",4
"1709",2
"1710",4
"1711",1
"1712",1
"1713",1
"1714",4
"1715",1
"1716",1
"1717",1
"1718",4
"1719",4
"1720",4
"1721",4
"1722",4
"1723",1
"1724",5
"1725",2
"1726",1
"1727",1
"1728",1
"1729",1
"1730",1
"1731",1
"1732",1
"1733",4
"1734",1
"1735",1
"1736",1
"1737",1
"1738",1
"1739",4
"1740",1
"1741",4
"1742",5
"1743",2
"1744",1
"1745",4
"1746",4
"1747",1
"1748",1
"1749",1
"1750",5
"1751",1
"1752",4
"1753",4
"1754",2
"1755",4
"1756",4
"1757",1
"1758",1
"1759",4
"1760",4
"1761",4
"1762",4
"1763",2
"1764",2
"1765",1
"1766",1
"1767",4
"1768",1
"1769",4
"1770",5
"1771",4
"1772",1
"1773",1
"1774",4
"1775",4
"1776",4
"1777",4
"1778",4
"1779",1
"1780",4
"1781",4
"1782",2
"1783",1
"1784",4
"1785",1
"1786",5
"1787",1
"1788",1
"1789",5
"1790",5
"1791",2
"1792",1
"1793",3
"1794",1
"1795",4
"1796",4
"1797",4
"1798",1
"1799",1
"1800",1
"1801",1
"1802",5
"1803",1
"1804",1
"1805",2
"1806",5
"1807",4
"1808",4
"1809",1
"1810",5
"1811",3
"1812",2
"1813",1
"1814",5
"1815",3
"1816",4
"1817",1
"1818",4
"1819",1
"1820",2
"1821",1
"1822",4
"1823",5
"1824",5
"1825",4
"1826",4
"1827",1
"1828",4
"1829",1
"1830",1
"1831",5
"1832",1
"1833",4
"1834",2
"1835",5
"1836",1
"1837",5
"1838",1
"1839",1
"1840",4
"1841",1
"1842",1
"1843",1
"1844",3
"1845",4
"1846",4
"1847",4
"1848",1
"1849",1
"1850",4
"1851",1
"1852",1
"1853",1
"1854",1
"1855",4
"1856",4
"1857",4
"1858",3
"1859",4
"1860",2
"1861",4
"1862",4
"1863",4
"1864",5
"1865",1
"1866",4
"1867",4
"1868",1
"1869",3
"1870",4
"1871",5
"1872",4
"1873",4
"1874",3
"1875",1
"1876",1
"1877",4
"1878",4
"1879",1
"1880",5
"1881",1
"1882",1
"1883",3
"1884",4
"1885",1
"1886",4
"1887",1
"1888",4
"1889",5
"1890",1
"1891",4
"1892",5
"1893",5
"1894",1
"1895",1
"1896",1
"1897",4
"1898",4
"1899",4
"1900",4
"1901",4
"1902",4
"1903",5
"1904",4
"1905",1
"1906",1
"1907",4
"1908",4
"1909",4
"1910",4
"1911",1
"1912",4
"1913",4
"1914",1
"1915",5
"1916",1
"1917",4
"1918",5
"1919",3
"1920",1
"1921",1
"1922",5
"1923",4
"1924",1
"1925",2
"1926",4
"1927",2
"1928",1
"1929",3
"1930",2
"1931",3
"1932",2
"1933",2
"1934",1
"1935",5
"1936",2
"1937",2
"1938",2
"1939",1
"1940",2
"1941",2
"1942",1
"1943",2
"1944",2
"1945",5
"1946",2
"1947",2
"1948",2
"1949",1
"1950",5
"1951",5
"1952",2
"1953",5
"1954",4
"1955",4
"1956",5
"1957",2
"1958",5
"1959",2
"1960",4
"1961",4
"1962",3
"1963",5
"1964",2
"1965",5
"1966",1
"1967",2
"1968",3
"1969",2
"1970",5
"1971",5
"1972",2
"1973",3
"1974",3
"1975",5
"1976",4
"1977",4
"1978",2
"1979",2
"1980",5
"1981",4
"1982",1
"1983",1
"1984",2
"1985",5
"1986",5
"1987",1
"1988",1
"1989",5
"1990",3
"1991",5
"1992",5
"1993",3
"1994",5
"1995",5
"1996",2
"1997",2
"1998",2
"1999",2
"2000",2
"2001",2
"2002",2
"2003",2
"2004",4
"2005",3
"2006",2
"2007",3
"2008",2
"2009",2
"2010",1
"2011",1
"2012",2
"2013",2
"2014",4
"2015",4
"2016",2
"2017",1
"2018",2
"2019",4
"2020",5
"2021",5
"2022",5
"2023",3
"2024",4
"2025",5
"2026",2
"2027",2
"2028",4
"2029",2
"2030",4
"2031",1
"2032",5
"2033",3
"2034",4
"2035",1
"2036",2
"2037",2
"2038",4
"2039",4
"2040",4
"2041",2
"2042",2
"2043",2
"2044",1
"2045",5
"2046",2
"2047",5
"2048",5
"2049",5
"2050",5
"2051",5
"2052",2
"2053",4
"2054",4
"2055",5
"2056",5
"2057",5
"2058",5
"2059",1
"2060",5
"2061",5
"2062",2
"2063",2
"2064",2
"2065",5
"2066",5
"2067",1
"2068",2
"2069",2
"2070",2
"2071",2
"2072",4
"2073",4
"2074",2
"2075",2
"2076",2
"2077",2
"2078",4
"2079",2
"2080",2
"2081",3
"2082",4
"2083",4
"2084",1
"2085",2
"2086",1
"2087",4
"2088",5
"2089",5
"2090",5
"2091",3
"2092",5
"2093",1
"2094",5
"2095",3
"2096",5
"2097",4
"2098",3
"2099",3
"2100",2
"2101",5
"2102",3
"2103",3
"2104",3
"2105",4
"2106",5
"2107",3
"2108",2
"2109",2
"2110",1
"2111",3
"2112",4
"2113",2
"2114",5
"2115",5
"2116",2
"2117",2
"2118",5
"2119",5
"2120",1
"2121",5
"2122",1
"2123",5
"2124",1
"2125",5
"2126",3
"2127",4
"2128",4
"2129",3
"2130",2
"2131",5
"2132",2
"2133",2
"2134",5
"2135",4
"2136",5
"2137",2
"2138",5
"2139",3
"2140",5
"2141",3
"2142",3
"2143",5
"2144",5
"2145",5
"2146",1
"2147",5
"2148",5
"2149",5
"2150",1
"2151",1
"2152",3
"2153",3
"2154",5
"2155",3
"2156",5
"2157",3
"2158",5
"2159",2
"2160",3
"2161",1
"2162",3
"2163",5
"2164",2
"2165",2
"2166",1
"2167",5
"2168",5
"2169",5
"2170",2
"2171",3
"2172",3
"2173",1
"2174",3
"2175",3
"2176",2
"2177",3
"2178",5
"2179",1
"2180",5
"2181",4
"2182",4
"2183",3
"2184",3
"2185",4
"2186",3
"2187",3
"2188",2
"2189",5
"2190",5
"2191",3
"2192",3
"2193",1
"2194",1
"2195",5
"2196",4
"2197",3
"2198",3
"2199",3
"2200",1
"2201",2
"2202",3
"2203",3
"2204",3
"2205",3
"2206",5
"2207",3
"2208",3
"2209",3
"2210",3
"2211",5
"2212",3
"2213",5
"2214",3
"2215",3
"2216",1
"2217",4
"2218",2
"2219",4
"2220",5
"2221",3
"2222",4
"2223",1
"2224",5
"2225",1
"2226",3
"2227",3
"2228",3
"2229",1
"2230",3
"2231",2
"2232",2
"2233",3
"2234",4
"2235",3
"2236",4
"2237",1
"2238",3
"2239",1
"2240",3
"2241",5
"2242",4
"2243",3
"2244",5
"2245",5
"2246",5
"2247",3
"2248",3
"2249",2
"2250",5
"2251",1
"2252",1
"2253",2
"2254",4
"2255",3
"2256",5
"2257",3
"2258",5
"2259",3
"2260",1
"2261",4
"2262",4
"2263",4
"2264",1
"2265",1
"2266",4
"2267",5
"2268",1
"2269",1
"2270",2
"2271",1
"2272",5
"2273",4
"2274",1
"2275",2
"2276",3
"2277",1
"2278",1
"2279",5
"2280",2
"2281",1
"2282",1
"2283",1
"2284",1
"2285",1
"2286",5
"2287",2
"2288",1
"2289",1
"2290",4
"2291",1
"2292",1
"2293",1
"2294",4
"2295",5
"2296",4
"2297",2
"2298",2
"2299",1
"2300",3
"2301",1
"2302",4
"2303",1
"2304",5
"2305",4
"2306",1
"2307",5
"2308",1
"2309",1
"2310",4
"2311",2
"2312",1
"2313",1
"2314",4
"2315",4
"2316",1
"2317",5
"2318",2
"2319",4
"2320",2
"2321",5
"2322",1
"2323",4
"2324",4
"2325",1
"2326",1
"2327",1
"2328",5
"2329",1
"2330",1
"2331",1
"2332",1
"2333",4
"2334",1
"2335",1
"2336",1
"2337",4
"2338",1
"2339",4
"2340",4
"2341",1
"2342",2
"2343",1
"2344",1
"2345",5
"2346",5
"2347",5
"2348",1
"2349",1
"2350",4
"2351",2
"2352",1
"2353",4
"2354",4
"2355",3
"2356",4
"2357",2
"2358",5
"2359",1
"2360",1
"2361",1
"2362",3
"2363",3
"2364",2
"2365",1
"2366",1
"2367",4
"2368",4
"2369",1
"2370",4
"2371",1
"2372",1
"2373",2
"2374",5
"2375",1
"2376",1
"2377",1
"2378",1
"2379",4
"2380",1
"2381",2
"2382",1
"2383",1
"2384",2
"2385",4
"2386",4
"2387",1
"2388",5
"2389",4
"2390",1
"2391",1
"2392",4
"2393",1
"2394",1
"2395",1
"2396",4
"2397",5
"2398",1
"2399",1
"2400",4
"2401",1
"2402",5
"2403",1
"2404",2
"2405",1
"2406",5
"2407",4
"2408",1
"2409",5
"2410",4
"2411",4
"2412",1
"2413",4
"2414",1
"2415",1
"2416",1
"2417",4
"2418",1
"2419",4
"2420",4
"2421",2
"2422",1
"2423",1
"2424",2
"2425",5
"2426",2
"2427",5
"2428",2
"2429",1
"2430",2
"2431",2
"2432",3
"2433",2
"2434",1
"2435",1
"2436",5
"2437",2
"2438",1
"2439",1
"2440",2
"2441",4
"2442",5
"2443",1
"2444",1
"2445",3
"2446",2
"2447",2
"2448",2
"2449",4
"2450",5
"2451",5
"2452",5
"2453",5
"2454",5
"2455",5
"2456",5
"2457",3
"2458",4
"2459",5
"2460",3
"2461",1
"2462",2
"2463",5
"2464",2
"2465",1
"2466",5
"2467",5
"2468",1
"2469",2
"2470",2
"2471",1
"2472",2
"2473",3
"2474",2
"2475",4
"2476",2
"2477",1
"2478",1
"2479",5
"2480",3
"2481",5
"2482",5
"2483",3
"2484",2
"2485",4
"2486",3
"2487",1
"2488",1
"2489",4
"2490",1
"2491",2
"2492",2
"2493",1
"2494",2
"2495",4
"2496",2
"2497",4
